mo|email |website| phone1 |phone2
|ferruh@adamofur.com.tr || +90 212 6795621 |+90 212 4162572
|ademirderi@gmail.com || +90 212 6792627 |+90 212 6790400
|ali.sisli@adidas-group.com || +90 212 3553600 |+90 212 2663670
|r.yanasavur@gmail.com |www.agamoda.com.tr| +90 232 328 19 66 |+90 232 328 19 59
|info@agartiogluderi.com |www.agartioglu.com.tr| +90 232 842 64 56 |+90 232 842 63 76
|info@akaderi.com || +90 216 3941515 |+90 216 3941333
|akarshoes@hotmail.com |www.akarayakkabi.com| 90 212 637 82 70 |90 212 637 82 71
|okan@akelderi.com || +90 216 3940999 |+90 216 3940111
|okan@akelderi.com |www.akelderi.com| +90 216 394 09 99 |+90 216 39 40 11
|ogun@akinal.com.tr |www.akinal.com.tr| 90 342 337 4332 |90 342 337 4331
|info@akmen.com.tr || +90 212 6966079 |+90 212 6970766
|info@albesleather.com |www.albesleather.com| 0216 394 24 25 |0216 394 24 17
|alderi@tnn.net || +90 216 3942579 |+90 216 3940624
|info@alfaayakkabi.com || +90 212 6438540 |+90 212 6438505
|alpinoayakkabi@gmail.com || +90 212 6713315 |+90 212 6713318
|info@altinok.com.tr |www.altinok.com.tr| +90 (232) 441 25 74 ( pbx ) |+90 (232) 425 89 09
|engin@vilyaderi.com.tr || +90 212 6795591 |+90 212 4164882
|a.yagci@artukimya.com |www.artukimya.com| +90 232 463 93 00 |+90 232 463 78 76
|info@arcderi.com |www.arcderi.com| +902125538383 |+902125565431
|mehmet@arpelderi.com |www.arpelderi.com| +90 (212) 510-8534 |+90 (212) 510-7689
|info@erdoganderi.com.tr |www.erdoganderi.com.tr| +90 (212) 546-9490 | +90 (212) 546-9480
|info@asder.com.tr || +90 212 5108137 |+90 212 5462676
| || +90 212 6704514 |+90 212 6704516
|aslanderi@netone.com.tr; aslangrup01@hotmail.com |www.aslanderi.com| +90 (282) 686-2317 | +90 (282) 686-1145
|atacan@atacan.com |www.atacan.com| +90 216 394 11 44 |+90 216 394 11 46
|atilim@atilimayakkabi.com || +90 212 6711851 |+90 212 6711853
|info@atincderi.com || +90 212 5962218 |
|mail@tiflani.com || +90 212 5115738 |+90 212 5115760
|muhasebe@aydemirderi.com || +90 224 4870031 |+90 224 4870034
|selcuk.avci@aydinli.com |www.orjin.com| +90.212.630 79 35 |+90.212.550 3144
|info@balansleather.com || +90 212 6643200 |+90 212 6640055
|info@barkinshoes.com || +90 212 6373367 |+90 212 6373369
|celal@baykallargroup.com; hacer@baykallargroup.com |www.baykallargroup.com| +90 (212) 510-8873 | +90 (212) 510-8875
|beondi@mynet.com || +90 212 5102425 |+90 212 5102561
|berkem_kurkderi@hotmail.com || +90 216 3941029 |+90 216 3941028
|beysa@beysa.com || +90 282 6863648 |+90 282 6862568
| || +90 282 6540607 |+90 282 6527882
|serdal@birdallar.com; vuslat_olgun@hotmail.com |www.birdallar.com| +90 (282) 686-2075 | +90 (282) 686- 1903
|info@bozyaka.com.tr |www.bozyaka.com.tr| 90 236 231 62 32 |90 236 234 26 28
|b.besirik@burcderi.com.tr; info@burcderi.com.tr |www.burcderi.com.tr| +90 (236) 2113440 | +90 (236) 2113442
|info@cabani.com.tr || +90 212 5492909 |+90 212 5492913
|muhasebe@carettaleather.com || +90 212 6242944 |+90 212 6242948
|info@carnellileather.com.tr || +90 212 4167484 |+90 212 4167486
|emre@cea-tr.com || +90 212 5384850 |+90 212 5385063
|info@cetinkayaderi.com |www.cetinkayaderi.com| +90 212 665 81 00 |+90 212 510 23 36
|gurselkucuk37@gmail.com; gursel@cevahirderi.com || +90 216 394 05 40 |+90 216 394 05 44
|cevhertekstil@gmail.com || +90 212 5284727 |+90 212 5284963
|ceylanderi@isbank.net.tr || +90 212 5589809 |+90 212 5109399
|seyo@ceyo.com.tr || +90 212 4329494 |+90 212 4329595
|zhtbykl@hotmail.com; celal@baykallargroup.com |www.baykallargroup.com| +90 282 686 18 73 |+90 282 686 18 73
|info@cihanderi.com || +90 216 3941860 |+90 216 3941038
|crysayakkabi@yahoo.com || +90 212 8756210 |+90 212 8756210
| || +90 212 6718436 |+90 212 6718438
|info@cetinkayaderi.com |www.cetinkayaderi.com| +90 (212) 665-8100 | +90 (212) 510-2336
|yagmur@cetsan.com |www.cetsan.com| +90 212 4943456 |+90 212 4943074 
|ademcimen@gmail.com |www.lamelasfur.com| 0212 415 89 94 |0212 679 62 94
|info@damlaxshoes.com || +90 212 5496854 |+90 212 5496884
| || +90 212 6544665 |+90 212 6544668
|info@degar.net || +90 212 8752176 |+90 212 8752177
|info@denizlerderi.com |www.denizlerderi.com| +90 (212) 546-2323 | +90 (212) 582-0421
|info@derisarayi.com || +90 212 5585617 |+90 212 4064524
|info@derisarayi.com || +90 212 5823434 |+90 212 5821400
|info@derixbag.net, info@leathercaps.net |www.derixbag.net, www.leathercaps.net| 02324463023 |02324413664
| || +90 212 5471604 |+90 212 5821211
|derisayderi@hotmail.com || +90 212 6792706 |+90 212 5471752
|derkon@derkon.com || +90 212 6804701 |
|info@emilianozapata.co || +90 212 4165996 |+90 212 4165998
|burak.celet@desa.com.tr |www.desa.com.tr| +90 (212) 473 18 00 | +90 (212) 6989812
|devran@devranayakkabi.com.tr |www.devranayakkabi.com | 90 212 423 20 50 |90 212 690 46 36 
|nerikarra@nerikarra.com || +90 212 6304070 |+90 212 6304071
|info@tunaistanbul.com || +90 212 5123850 |+90 212 5492481
|m.ali@doguderi.com |www.perre.com.tr| +90 212 415 57 17 |+90 212 510 27 36
|ilkay@dorukderi.com || +90 212 2949000 |+90 212 2949002
|duruderi@hotmail.com |www.duruleather.com| 0.282.6865554 |0.282.6865563
|efederi@hotmail.com || +90 374 3118964 |+90 374 3118965
|ekolderi@gmail.com |www.ekolderi.net| +90 (212) 679-1031 | +90 (212) 510-6018
|info@eksterleather.com || +90 212 5448191 |+90 212 6138591
|info@elesaleather.com || +90 212 5465641 |+90 212 5465529
|elisayakkabi@hotmail.com || +90 212 6105878 |+90 212 6105912
|muslumulker@hotmail.com || +90(212)554 40 12 |+90(212)554 40 13
|emelguven@emelda.com.tr |www.emelda.com.tr| +90 212 546 42 43 &amp; + 90 212 679 98 75 |+90 212 664 99 54
|sales@trustshoes.com |www.trustshoes.com | 90 212 677 72 11 |90 212 553 69 47 
|infi@veseviyo.com || +90 212 5109487 |+90 212 5477175
|enesderi@hotmail.com || +90 212 4162627 |+90 212 6799663
|ensarderi@hotmail.com |www.derayderi.com| +90 212 679 17 33 |+90 212 664 90 38
|ensarderi@hotmail.com; kadir_aytekin@hotmail.com |www.derayderi.com| +90 (212) 679-1733 | +90 (212) 664-9038
|bircan@ensarideri.com;info@ensarideri.com |www.ensarideri.com| +90 (212) 679-0205 |+90 (212) 582-2482
|info@best-leather.com || +90 212 5467913 |+90 212 5467098
|info@ozboyacileather.com |www.ozboyacileather.com| (232)425 42 13 - 425 42 93 |(232)425 42 05
| |estetik@deccor.com| +90 216 3940306 |+90 216 3940381
|import@herkimgroup.com |www.herkimgroup.com| +90 216 394 11 33 |+90 216 394 11 28
|fatihshoes@yahoo.com || 90 212 6388893 |90 212 6385104
|info@ferudunfootwear.com |www.ferudunfootwear.com| +90 216 365 9524 |+90 216 365 2455
|info@ferudunkundura.com |www.ferudunfootwear.com| +90 216 365 9524 |+90 216 365 2455
|info@filizler.com.tr; ulas_filiz@hotmail.com |www.filizler.com.tr| +90 (212) 679-6326 | +90 (212) 665-8146
|export@foster-shoes.com |www.foster-shoes.com| 02165910186 |02165910688
|info@furnova.com.tr || +90 282 6863570 |+90 282 6862048
|info@giorgiorotti.com.tr || +90 212 5823584 |+90 212 4156287
|gimayakkabi@hotmail.com |www.happywalkshoes.com.tr| 90 232 436 48 16 |90 232 436 48 17
|gl-lojistik@hotmail.com || +90 212 6383571 |
|info@gon.com.tr |www.gon.com.tr| 90 312 397 90 15 |90 312 397 90 14
|goryakinlar@gmail.com |www.goryakinlar.com.tr| +90 216 394 11 04 |+90 216 394 11 07
|gondemir@gondemir.com || +90 212 6659961 |+90 212 5823421
|gondemir@gondemir.com || +90 212 6645179 |+90 212 5824227
|info@viavalente.com.tr || +90 212 6655066 |+90 212 6653954
|ibrahimkursunoglu@guclu-group.com;hakantaskan@guclu-group.com |www.guclu-group.com| +90 (216) 394-2481 | +90 (216) 394-0890
|ayhankirhan@guclu-group.com |www.guclu-group.com| +90 216 394 24 81 |+90 216 394 08 90
|gudersan@gudersan.com.tr |www.gudersan.com.tr| +90 (212) 546-4600 | +90 (216) 582-2527
| || 0212 416 06 72 |
|gulhankirhan@guclu-group.com || +90 216 3942483 |+90 216 3940890
|gg@gunduzgroup.com.tr |www.gunduzgroup.com.tr| +90 (212) 664-2100 | +90 (212) 546-0970
|gunsar@gunsarleather.com || +90 212 6652838 |+90 212 5463586
| || +90 216 3942266 |+90 216 3940214
|http://www.lublinshoes.com |Mr. Bülent KAYA| 90 212 518 78 04 |90 212 518 83 32
| || +90 212 5187804 |+90 212 5188332
|harmanli@harmanli.com || +90 2125105069 |+90 2125582936
|jaguar@jaguar.com.tr |www.jaguar.com.tr| 90 212 505 35 71 |90 212 505 35 73
|info@hiraderi.com |www.hiraderi.com| +90 212 665 98 21 |+90 212 665 99 70
| || +90 212 4705717 |+90 212 4706927
|seljilber@yahoo.com |www.ilerideri.com| +90 212 637 72 72 |+90 212 637 77 20
|mariomuzi63@hotmail.com || +90 212 5125742 |+90 212 5123203
|ilyasderi@gmail.com || +90 212 5565157 |+90 212 5565187
